// PlayerRankId,TotalExp,Storage,TeamPreset
1,0,1500,2
2,100,1505,2
3,300,1510,2
4,500,1515,2
5,800,1520,3
6,1100,1525,3
7,1400,1530,3
8,1800,1535,3
9,2200,1540,3
10,2600,1545,4
11,3000,1550,4
12,3500,1555,4
13,4000,1560,4
14,4500,1565,4
15,5000,1570,5
16,5500,1575,5
17,6100,1580,5
18,6700,1585,5
19,7300,1590,5
20,7900,1595,6
21,8500,1600,6
22,9100,1605,6
23,9800,1610,6
24,10500,1615,6
25,11200,1620,6
26,11900,1625,6
27,12600,1630,6
28,13300,1635,6
29,14000,1640,6
30,14800,1645,6
31,15600,1650,6
32,16400,1655,6
33,17200,1660,6
34,18000,1665,6
35,18800,1670,6
36,19600,1675,6
37,20400,1680,6
38,21300,1685,6
39,22200,1690,6
40,23100,1695,6
41,24000,1700,6
42,24900,1705,6
43,25800,1710,6
44,26700,1715,6
45,27600,1720,6
46,28500,1725,6
47,29500,1730,6
48,30600,1735,6
49,31800,1740,6
50,33100,1745,6
51,34500,1750,6
52,36000,1755,6
53,37600,1760,6
54,39300,1765,6
55,41100,1770,6
56,43000,1775,6
57,45000,1780,6
58,47100,1785,6
59,49300,1790,6
60,51600,1795,6
61,54000,1800,6
62,56500,1805,6
63,59100,1810,6
64,61800,1815,6
65,64600,1820,6
66,67500,1825,6
67,70500,1830,6
68,73600,1835,6
69,76800,1840,6
70,80100,1845,6
71,83500,1850,6
72,87000,1855,6
73,90600,1860,6
74,94300,1865,6
75,98100,1870,6
76,102000,1875,6
77,106000,1880,6
78,110100,1885,6
79,114300,1890,6
80,118600,1895,6
81,123000,1900,6
82,127500,1905,6
83,132100,1910,6
84,136800,1915,6
85,141600,1920,6
86,146500,1925,6
87,151500,1930,6
88,156600,1935,6
89,161800,1940,6
90,167100,1945,6
91,172500,1950,6
92,178000,1955,6
93,183600,1960,6
94,189300,1965,6
95,195100,1970,6
96,201000,1975,6
97,207000,1980,6
98,213100,1985,6
99,219300,1990,6
100,225600,1995,6
101,232000,2000,6
102,238500,2000,6
103,245100,2000,6
104,251800,2000,6
105,258600,2000,6
106,265500,2000,6
107,272500,2000,6
108,279600,2000,6
109,286800,2000,6
110,294100,2000,6
111,301500,2000,6
112,309000,2000,6
113,316600,2000,6
