// MenuDisplayEnemyId,MenuDisplayEnemySetId,BossFlag,EnemyKindId
1,1001,True,15301000
2,1001,False,10500000
3,1001,False,10050000
4,1001,False,10020000
5,1002,True,15430000
6,1002,False,10180000
7,1002,False,10550000
8,1002,False,10140000
9,1003,True,15040300
10,1003,False,10180000
11,1003,False,10090000
12,1003,False,10120000
13,1004,True,15090000
14,1004,False,10020000
15,1004,False,10070000
16,1004,False,10030000
17,1005,True,15110000
18,1005,False,10270100
19,1005,False,10050000
20,1005,False,10540000
21,1006,True,15050100
22,1006,False,10180000
23,1006,False,10010200
24,1006,False,10000000
25,1007,True,15040700
26,1007,False,10180100
27,1007,False,10060000
28,1007,False,10030000
29,1008,True,15040400
30,1008,False,10560100
31,1008,False,10080000
32,1008,False,10090500
33,1009,True,15020000
34,1009,False,10020100
35,1009,False,10060400
36,1009,False,10280100
37,1010,True,15170000
38,1010,False,10020000
39,1010,False,10510000
40,1010,False,10000000
41,1011,True,15200000
42,1011,False,10060000
43,1011,False,10180300
44,1011,False,10230000
45,1012,True,15100000
46,1012,False,10270100
47,1012,False,10070100
48,1012,False,10090300
49,1013,True,15040900
50,1013,False,10050100
51,1013,False,10530100
52,1013,False,10120100
53,1014,True,15050300
54,1014,False,10080100
55,1014,False,10140300
56,1014,False,10540300
57,1015,True,15080000
58,1015,False,10060000
59,1015,False,10000100
60,1015,False,10150100
61,1016,True,15150000
62,1016,False,10070200
63,1016,False,10140400
64,1016,False,10280000
65,1017,True,15510000
66,1017,False,10080200
67,1017,False,10090300
68,1017,False,10260200
69,1018,True,15500000
70,1018,False,10050200
71,1018,False,10140100
72,1018,False,10150200
73,2001,True,15311000
74,2001,False,10050200
75,2001,False,10100100
76,2001,False,10150200
77,2002,True,15041100
78,2002,False,10060200
79,2002,False,10000200
80,2002,False,10040300
81,2003,True,15010100
82,2003,False,10510100
83,2003,False,10000000
84,2003,False,10130300
85,2004,True,15100100
86,2004,False,10060400
87,2004,False,10090500
88,2004,False,10160100
89,2005,True,15020100
90,2005,False,10050200
91,2005,False,10090000
92,2005,False,10240100
93,2006,True,15110100
94,2006,False,10510000
95,2006,False,10530000
96,2006,False,10260300
97,2007,True,15050000
98,2007,False,10500200
99,2007,False,10080200
100,2007,False,10150300
101,2008,True,15300000
102,2008,False,10070200
103,2008,False,10090200
104,2008,False,10250100
105,3001,True,15040800
106,3001,False,10180000
107,3001,False,10050000
108,3001,False,10140000
109,3002,True,15110000
110,3002,False,10550000
111,3002,False,10030000
112,3002,False,10260000
113,3003,True,15040300
114,3003,False,10180000
115,3003,False,10060000
116,3003,False,10230000
117,3004,True,15080000
118,3004,False,10180000
119,3004,False,10140000
120,3004,False,10130000
121,3005,True,15301000
122,3005,False,10070000
123,3005,False,10230000
124,3005,False,10040000
